都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
82333,1,茨城県,行方市,麻生こども園,アソウコドモエン,認定こども園（幼保連携型）,茨城県行方市麻生3323-10,,36.014419,140.501099,,,0299-72-0522,,,,社会福祉法人道邦会,,,,,,,,,,
82333,2,茨城県,行方市,龍翔寺こども園,リュウショウジコドモエン,認定こども園（幼保連携型）,茨城県行方市矢幡2027-6,,36.014127,140.531361,,,0299-73-2340,,,,社会福祉法人永翔会,,,,,,,,,,
82333,3,茨城県,行方市,北浦こども園,キタウラコドモエン,認定こども園（幼保連携型）,茨城県行方市中根309-1,,36.069032,140.506586,,,0291-35-3141,,,,社会福祉法人中根福祉会,,,,,,,,,,
82333,4,茨城県,行方市,玉造第一保育園,タマツクリダイイチホイクエン,認可私立保育所,茨城県行方市玉造乙1027-1,,36.116637,140.415399,,,0299-55-3631,,,,社会福祉法人聖隷会,,,,,,,,,,
82333,5,茨城県,行方市,玉造第二保育園,タマツクリダイニホイクエン,認可私立保育所,茨城県行方市西蓮寺481,,36.070249,140.436123,,,0299-56-0710,,,,社会福祉法人聖隷会,,,,,,,,,,
82333,6,茨城県,行方市,玉造第三保育園,タマツクリダイサンホイクエン,認可私立保育所,茨城県行方市芹沢1652-5,,36.135023,140.433246,,,0299-55-1224,,,,社会福祉法人聖隷会,,,,,,,,,,
82333,7,茨城県,行方市,子どもの家菫の苑,コドモノイエスミレノソノ,認可私立保育所,茨城県行方市麻生615-4,,35.998112,140.472075,,,0299-77-9790,,,,社会福祉法人菫福祉会,,,,,,,,,,
82333,8,茨城県,行方市,認定こども園のぞみ,ニンテイコドモエンノゾミ,認定こども園（幼保連携型）,茨城県行方市山田3418-4,,36.07794,140.517501,,,0291-35-2550,,,,学校法人聖愛学園,,,,,,,,,,
82333,9,茨城県,行方市,行方市立麻生幼稚園,アソウヨウチエン,公立幼稚園,茨城県行方市麻生1147-1,,35.989426,140.485734,,,0299-72-0530,,,,行方市,,,,,,,,,,
82333,10,茨城県,行方市,行方市立北浦幼稚園,キタウラヨウチエン,公立幼稚園,茨城県行方市繁昌212,,36.069142,140.523826,,,0291-35-2038,,,,行方市,,,,,,,,,,
82333,11,茨城県,行方市,行方市立玉造幼稚園,タマツクリヨウチエン,公立幼稚園,茨城県行方市玉造甲4175,,36.106117,140.419827,,,0299-55-0281,,,,行方市,,,,,,,,,,
